,Class,return,ret_1,ret_2,ret_3,ret_4,ret_5,return_sign,EMA_12,EMA_26,10 Day ROI,20 Day ROI,30 Day ROI,Momentum,MACD_12_26,Williams,ATR_14,CCI,10_day_RSI,14_day_RSI,30_day_RSI,SRSI_10,SRSI_14,SRSI_30
1474,0,0.0075841396735512046,-0.0002421255983823256,0.017062996865551794,0.0008457269729471584,0.0003025666294942386,-0.0025260799775062015,1.0,8988.991628275613,8882.408884889499,0.023240000353692523,0.04110419328880529,0.06919514608058086,229.400390625,106.58274338611409,-1.59208670064253,74.86877791610684,154.76476380678315,76.85346828392096,71.56704511896824,76.50320161059187,0.7661626653289221,0.7076647099430463,0.8936356748813681
1475,0,0.0006936658662091144,0.0075841396735512046,-0.0002421255983823256,0.017062996865551794,0.0008457269729471584,0.0003025666294942386,1.0,9015.308270800519,8902.97487894861,0.029247990638781987,0.049898517958118414,0.050898237136934525,233.0498046875,112.33339185190925,-16.285363859362224,74.32637836062594,151.361339130009,87.46384287356742,71.2250080353971,72.8956570033555,0.873353744508233,0.7040358093938148,0.8310754095131133
1476,0,-0.0036244557639315556,0.0006936658662091144,0.0075841396735512046,-0.0002421255983823256,0.017062996865551794,0.0008457269729471584,-1.0,9032.468476735054,8919.558192313527,0.025771117860638206,0.039741354451469584,0.044949435770100465,192.2998046875,112.91028442152674,-25.551376396838375,71.25616853754248,115.18384321609544,80.29849051442257,72.56578531610081,69.94508950985393,0.8009659276986146,0.7182610137475138,0.7799081183283727
1477,0,-0.0005861397529225432,-0.0036244557639315556,0.0006936658662091144,0.0075841396735512046,-0.0002421255983823256,0.017062996865551794,-1.0,9046.16563416043,8934.516844734746,0.017632697370277492,0.03398435653558048,0.04353643439034546,34.5,111.6487894256843,-27.044426274189153,69.82865335753681,92.71191216102962,74.86227990131468,74.27738073302781,69.35949421673843,0.7460467278775578,0.7364204761183721,0.7697530125918502
1478,1,-0.009981889457600146,-0.0005861397529225432,-0.0036244557639315556,0.0006936658662091144,0.0075841396735512046,-0.0002421255983823256,-1.0,9043.747874337672,8941.623018851617,0.009338407832845392,0.017034191894878974,0.026065116743552545,-54.349609375,102.12485548605582,-52.45598255655492,74.1448589515319,35.20674629930001,60.6473403738983,58.09198587015781,61.31387915987562,0.6024406095884601,0.5646987794702976,0.630229910923607
1479,1,0.006184587497530369,-0.009981889457600146,-0.0005861397529225432,-0.0036244557639315556,0.0006936658662091144,0.0075841396735512046,1.0,9050.294325160723,8952.339817802422,0.01815268464142243,0.020032915140899037,0.0362670080954575,-67.400390625,97.95450735830127,-36.86862905423821,73.40549234132764,55.21421204289611,69.03197235517905,67.50488876344983,65.33416338132166,0.6871461723375689,0.6645665719408889,0.6999477038082654
1480,0,0.002388232369495924,0.006184587497530369,-0.009981889457600146,-0.0005861397529225432,-0.0036244557639315556,0.0006936658662091144,1.0,9059.172121289843,8963.870201668908,0.02027556850005601,0.02028695308006239,0.038653012910396974,-52.0498046875,95.30191962093522,-33.8184483300178,69.91809336248396,70.50380274898663,70.35539350275661,69.05041840005516,66.02070272580659,0.7005160057792634,0.6809641312013424,0.7118533316667737
1481,1,-0.006895015885759803,0.002388232369495924,0.006184587497530369,-0.009981889457600146,-0.0005861397529225432,-0.0036244557639315556,-1.0,9057.022594216405,8969.894645642507,0.01238455132534461,0.011823949360982158,0.030392758682143514,-81.6494140625,87.12794857389781,-53.05562618723544,71.70896216415277,28.622557427697622,61.06836822012871,57.44196631770596,62.00395264905696,0.6066940342739577,0.5578022865921708,0.6421968261823083
1482,1,0.006146863328001739,-0.006895015885759803,0.002388232369495924,0.006184587497530369,-0.009981889457600146,-0.0005861397529225432,1.0,9063.757549673497,8979.591324090285,0.0015186315271816882,0.022941046106345828,0.03494038321545833,-20.7001953125,84.16622558321251,-36.02405133344302,70.84112658393241,52.22924340826042,51.71213872552227,63.08001573655545,63.33839808986325,0.5121729287180058,0.6176201297892844,0.6653381230990089
1483,1,0.004724859454424246,0.006146863328001739,-0.006895015885759803,0.002388232369495924,0.006184587497530369,-0.009981889457600146,1.0,9076.071742752574,8991.754915245634,0.006494364352372153,0.029753615808708295,0.038472241215451314,113.349609375,84.31682750694017,-23.393068221488637,68.37572116440809,72.36950291464403,56.64715590273957,68.03025149685227,64.31438833720685,0.5620288327226151,0.6701404971184882,0.6822632662415684
